,Office_PIN,Applicant_City_PIN,Manager_Grade,Manager_Num_Application,Manager_Num_Coded,Manager_Business,Manager_Num_Products,Manager_Business2,Manager_Num_Products2,Business_Sourced,Applicant_Gender_F,Applicant_Gender_M,Applicant_Marital_Status_D,Applicant_Marital_Status_M,Applicant_Marital_Status_S,Applicant_Marital_Status_W,Applicant_Occupation_Business,Applicant_Occupation_Others,Applicant_Occupation_Salaried,Applicant_Occupation_Self Employed,Applicant_Occupation_Student,Applicant_Qualification_Associate / Fellow of Institute of Chartered Accountans of India,Applicant_Qualification_Associate/Fellow of Acturial Society of India,Applicant_Qualification_Associate/Fellow of Institute of Company Secretories of India,Applicant_Qualification_Associate/Fellow of Insurance Institute of India,Applicant_Qualification_Class X,Applicant_Qualification_Class XII,Applicant_Qualification_Graduate,Applicant_Qualification_Masters of Business Administration,Applicant_Qualification_Others,Applicant_Qualification_Professional Qualification in Marketing,Manager_Joining_Designation_Level 1,Manager_Joining_Designation_Level 2,Manager_Joining_Designation_Level 3,Manager_Joining_Designation_Level 4,Manager_Joining_Designation_Level 5,Manager_Joining_Designation_Level 6,Manager_Joining_Designation_Level 7,Manager_Joining_Designation_Other,Manager_Current_Designation_Level 1,Manager_Current_Designation_Level 2,Manager_Current_Designation_Level 3,Manager_Current_Designation_Level 4,Manager_Current_Designation_Level 5,Manager_Status_Confirmation,Manager_Status_Probation,Manager_Gender_F,Manager_Gender_M
0,842001,844120,3.0,2.0,1.0,335249.0,28.0,335249.0,28.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1,842001,844111,3.0,2.0,1.0,335249.0,28.0,335249.0,28.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2,800001,844101,2.0,0.0,0.0,357184.0,24.0,357184.0,24.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
3,814112,814112,4.0,0.0,0.0,318356.0,22.0,318356.0,22.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4,814112,815351,2.0,2.0,1.0,230402.0,17.0,230402.0,17.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
5,814112,814114,2.0,0.0,0.0,247118.0,24.0,247118.0,24.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
6,842001,844118,2.0,0.0,0.0,315119.0,27.0,315119.0,27.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
7,800001,844103,2.0,5.0,4.0,117358.0,9.0,117358.0,9.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
8,209625,206451,3.0,0.0,0.0,244028.0,17.0,244028.0,17.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
9,211001,212218,4.0,0.0,0.0,851557.0,39.0,851557.0,39.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
10,520010,520007,3.0,0.0,0.0,148789.0,10.0,148789.0,10.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
11,533101,534222,3.0,2.0,3.0,233726.0,14.0,233726.0,14.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
12,274001,274001,4.0,0.0,0.0,218901.0,13.0,218901.0,13.0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
13,202001,202002,2.0,0.0,0.0,395742.0,19.0,395742.0,19.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
14,284001,284403,3.0,1.0,2.0,173087.0,10.0,173087.0,10.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
15,520010,521101,2.0,0.0,0.0,88414.0,7.0,88414.0,7.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
16,834001,834001,3.0,1.0,2.0,341667.0,14.0,341667.0,14.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
17,474008,475005,4.0,0.0,2.0,1359705.0,24.0,1359705.0,24.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
18,121002,121002,2.0,5.0,3.0,241031.0,20.0,241031.0,20.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
19,492001,492001,3.0,3.0,1.0,262207.0,7.0,262207.0,7.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
20,452003,452010,2.0,1.0,0.0,11642.0,1.0,11642.0,1.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
21,834001,835227,3.0,0.0,0.0,177816.0,7.0,177816.0,7.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
22,802301,802157,4.0,0.0,0.0,409995.0,30.0,409995.0,30.0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
23,211001,211008,3.0,0.0,0.0,161931.0,13.0,161931.0,13.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
24,492001,495001,3.0,0.0,0.0,200561.0,15.0,200561.0,15.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
25,282001,282001,3.0,0.0,0.0,288365.0,15.0,288365.0,15.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
26,751009,759107,3.0,0.0,1.0,367582.0,15.0,367582.0,15.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
27,800001,844119,2.0,0.0,0.0,246602.0,18.0,246602.0,18.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
28,282001,283125,2.0,2.0,2.0,259059.0,16.0,259059.0,16.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
29,781005,781037,3.0,3.0,1.0,310459.0,23.0,310459.0,23.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
30,520010,520010,3.0,0.0,0.0,81786.0,7.0,81786.0,7.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
31,444601,444601,5.0,0.0,0.0,411405.0,21.0,411405.0,21.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
32,274001,274001,2.0,0.0,0.0,110926.0,11.0,110926.0,11.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
33,560001,561101,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
34,282001,282007,4.0,0.0,0.0,286702.0,19.0,286702.0,19.0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
35,803101,801301,4.0,1.0,1.0,295775.0,19.0,295775.0,19.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
36,803101,803107,2.0,2.0,0.0,194597.0,15.0,194597.0,15.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
37,201010,201301,3.0,3.0,2.0,347412.0,18.0,347412.0,18.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
38,841428,841440,4.0,0.0,1.0,853436.0,51.0,853436.0,51.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
39,284001,284203,3.0,1.0,1.0,171830.0,16.0,171830.0,16.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
40,803101,803101,3.0,0.0,0.0,1158533.0,74.0,1158533.0,74.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
41,803101,805130,2.0,0.0,0.0,290235.0,18.0,290235.0,18.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
42,201010,110062,3.0,2.0,2.0,259713.0,14.0,259713.0,14.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
43,201010,201307,3.0,3.0,2.0,347412.0,18.0,347412.0,18.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
44,124001,124001,3.0,0.0,1.0,127324.0,9.0,127324.0,9.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
45,274001,274204,2.0,2.0,1.0,189374.0,12.0,189374.0,12.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
46,201010,201204,3.0,2.0,0.0,147062.0,11.0,147062.0,11.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
47,533101,534218,3.0,2.0,3.0,233726.0,14.0,233726.0,14.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
48,826001,828116,3.0,0.0,1.0,74915.0,7.0,74915.0,7.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
49,803101,803111,3.0,0.0,0.0,1158533.0,74.0,1158533.0,74.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
